Date : 2025-12-18 12:59:06
Directory : c:\Users\ZETTA\Desktop\nzaKishFinala
Total : 276 files,  5600 codes, 647 comments, 559 blanks, all 6806 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| ..\aqarat_flutter_project4\ios\Runner\Assets.xcassets\LaunchImage.imageset                                        |          2 |        -26 |          0 |         -3 |        -29 |
| ..\aqarat_flutter_project4\ios\Runner\Base.lproj                                                                  |          2 |        -68 |         -2 |         -2 |        -72 |
| ..\aqarat_flutter_project4\lib                                                                                    |         47 |    -19,263 |     -1,071 |     -1,066 |    -21,400 |
| ..\aqarat_flutter_project4\lib (Files)                                                                            |         26 |    -15,204 |       -779 |       -596 |    -16,579 |
| ..\aqarat_flutter_project4\lib\backend                                                                            |         11 |       -736 |        -24 |       -113 |       -873 |
| ..\aqarat_flutter_project4\lib\generated                                                                          |          6 |     -2,634 |       -268 |       -263 |     -3,165 |
| ..\aqarat_flutter_project4\lib\generated (Files)                                                                  |          1 |     -1,328 |       -218 |       -225 |     -1,771 |
| ..\aqarat_flutter_project4\lib\generated\intl                                                                     |          5 |     -1,306 |        -50 |        -38 |     -1,394 |
| ..\aqarat_flutter_project4\lib\l10n                                                                               |          4 |       -689 |          0 |        -94 |       -783 |
| ..\aqarat_flutter_project4\linux                                                                                  |          9 |       -335 |        -37 |        -92 |       -464 |
| ..\aqarat_flutter_project4\linux (Files)                                                                          |          1 |       -104 |          0 |        -25 |       -129 |
| ..\aqarat_flutter_project4\linux\flutter                                                                          |          4 |       -115 |         -9 |        -27 |       -151 |
| ..\aqarat_flutter_project4\linux\runner                                                                           |          4 |       -116 |        -28 |        -40 |       -184 |
| ..\aqarat_flutter_project4\macos                                                                                  |          6 |       -453 |         -5 |        -17 |       -475 |
| ..\aqarat_flutter_project4\macos\Flutter                                                                          |          1 |        -12 |         -3 |         -4 |        -19 |
| ..\aqarat_flutter_project4\macos\Runner                                                                           |          4 |       -434 |          0 |         -9 |       -443 |
| ..\aqarat_flutter_project4\macos\Runner (Files)                                                                   |          2 |        -23 |          0 |         -7 |        -30 |
| ..\aqarat_flutter_project4\macos\RunnerTests                                                                      |          1 |         -7 |         -2 |         -4 |        -13 |
| ..\aqarat_flutter_project4\macos\Runner\Assets.xcassets                                                           |          1 |        -68 |          0 |         -1 |        -69 |
| ..\aqarat_flutter_project4\macos\Runner\Assets.xcassets\AppIcon.appiconset                                        |          1 |        -68 |          0 |         -1 |        -69 |
| ..\aqarat_flutter_project4\macos\Runner\Base.lproj                                                                |          1 |       -343 |          0 |         -1 |       -344 |
| ..\aqarat_flutter_project4\test                                                                                   |          1 |        -14 |        -10 |         -7 |        -31 |
| ..\aqarat_flutter_project4\web                                                                                    |          2 |        -54 |        -15 |         -6 |        -75 |
| ..\aqarat_flutter_project4\website                                                                                |          4 |       -575 |          0 |        -94 |       -669 |
| ..\aqarat_flutter_project4\windows                                                                                |         14 |       -683 |        -94 |       -188 |       -965 |
| ..\aqarat_flutter_project4\windows (Files)                                                                        |          1 |        -89 |          0 |        -20 |       -109 |
| ..\aqarat_flutter_project4\windows\flutter                                                                        |          4 |       -132 |         -9 |        -29 |       -170 |
| ..\aqarat_flutter_project4\windows\runner                                                                         |          9 |       -462 |        -85 |       -139 |       -686 |
| android                                                                                                           |         14 |        709 |         53 |        128 |        890 |
| android (Files)                                                                                                   |          1 |          3 |          0 |          1 |          4 |
| android\app                                                                                                       |         11 |        153 |         51 |         12 |        216 |
| android\app\src                                                                                                   |         11 |        153 |         51 |         12 |        216 |
| android\app\src\debug                                                                                             |          1 |          3 |          4 |          1 |          8 |
| android\app\src\main                                                                                              |          9 |        147 |         43 |         10 |        200 |
| android\app\src\main (Files)                                                                                      |          1 |         39 |         11 |          2 |         52 |
| android\app\src\main\res                                                                                          |          8 |        108 |         32 |          8 |        148 |
| android\app\src\main\res\drawable                                                                                 |          2 |         34 |          0 |          2 |         36 |
| android\app\src\main\res\drawable-v21                                                                             |          1 |          9 |          0 |          1 |         10 |
| android\app\src\main\res\values                                                                                   |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                             |          1 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night-v31                                                                         |          1 |         15 |          7 |          1 |         23 |
| android\app\src\main\res\values-v31                                                                               |          1 |         15 |          7 |          1 |         23 |
| android\app\src\main\res\xml                                                                                      |          1 |          9 |          0 |          1 |         10 |
| android\app\src\profile                                                                                           |          1 |          3 |          4 |          1 |          8 |
| android\build                                                                                                     |          1 |        548 |          2 |        114 |        664 |
| android\build\reports                                                                                             |          1 |        548 |          2 |        114 |        664 |
| android\build\reports\problems                                                                                    |          1 |        548 |          2 |        114 |        664 |
| android\gradle                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| android\gradle\wrapper                                                                                            |          1 |          5 |          0 |          1 |          6 |
| backend                                                                                                           |         25 |      2,025 |        897 |        401 |      3,323 |
| backend (Files)                                                                                                   |          1 |        397 |          0 |          0 |        397 |
| backend\app                                                                                                       |         24 |      1,628 |        897 |        401 |      2,926 |
| backend\app (Files)                                                                                               |          3 |         46 |          1 |         13 |         60 |
| backend\app\cleanup                                                                                               |          1 |         31 |          3 |          9 |         43 |
| backend\app\db                                                                                                    |          1 |         13 |          9 |          4 |         26 |
| backend\app\routes                                                                                                |         17 |      1,494 |        880 |        358 |      2,732 |
| backend\app\utils                                                                                                 |          2 |         44 |          4 |         17 |         65 |
| flutter_fib_api                                                                                                   |          9 |        395 |          7 |         64 |        466 |
| images                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                                               |          9 |        257 |          4 |         14 |        275 |
| ios\Runner                                                                                                        |          8 |        250 |          2 |         10 |        262 |
| ios\Runner (Files)                                                                                                |          2 |         13 |          0 |          3 |         16 |
| ios\RunnerTests                                                                                                   |          1 |          7 |          2 |          4 |         13 |
| ios\Runner\Assets.xcassets                                                                                        |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                     |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                              |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                   |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                             |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                               |         58 |     23,510 |      1,024 |      1,305 |     25,839 |
| lib (Files)                                                                                                       |         31 |     17,826 |        656 |        768 |     19,250 |
| lib\backend                                                                                                       |         17 |      1,012 |         52 |        170 |      1,234 |
| lib\generated                                                                                                     |          6 |      3,669 |        316 |        311 |      4,296 |
| lib\generated (Files)                                                                                             |          1 |      1,682 |        266 |        273 |      2,221 |
| lib\generated\intl                                                                                                |          5 |      1,987 |         50 |         38 |      2,075 |
| lib\l10n                                                                                                          |          4 |      1,003 |          0 |         56 |      1,059 |
| linux                                                                                                             |          9 |        335 |         37 |         92 |        464 |
| linux (Files)                                                                                                     |          1 |        104 |          0 |         25 |        129 |
| linux\flutter                                                                                                     |          4 |        115 |          9 |         27 |        151 |
| linux\runner                                                                                                      |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                             |          6 |        455 |          5 |         17 |        477 |
| macos\Flutter                                                                                                     |          1 |         14 |          3 |          4 |         21 |
| macos\Runner                                                                                                      |          4 |        434 |          0 |          9 |        443 |
| macos\Runner (Files)                                                                                              |          2 |         23 |          0 |          7 |         30 |
| macos\RunnerTests                                                                                                 |          1 |          7 |          2 |          4 |         13 |
| macos\Runner\Assets.xcassets                                                                                      |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Assets.xcassets\AppIcon.appiconset                                                                   |          1 |         68 |          0 |          1 |         69 |
| macos\Runner\Base.lproj                                                                                           |          1 |        343 |          0 |          1 |        344 |
| test                                                                                                              |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                               |          2 |         54 |         15 |          6 |         75 |
| website                                                                                                           |          1 |        209 |          0 |         24 |        233 |
| windows                                                                                                           |         14 |        683 |         94 |        188 |        965 |
| windows (Files)                                                                                                   |          1 |         89 |          0 |         20 |        109 |
| windows\flutter                                                                                                   |          4 |        132 |          9 |         29 |        170 |
| windows\runner                                                                                                    |          9 |        462 |         85 |        139 |        686 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                          | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\README.md                                                          | Markdown         |        -10 |          0 |         -7 |        -17 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\analysis_options.yaml                                              | YAML             |         -3 |        -22 |         -4 |        -29 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\debug\AndroidManifest.xml                          | XML              |         -3 |         -4 |         -1 |         -8 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\AndroidManifest.xml                           | XML              |        -38 |        -11 |         -2 |        -51 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable-v21\launch_background.xml        | XML              |        -34 |          0 |         -1 |        -35 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable\android12splash.xml              | XML              |        -25 |          0 |         -1 |        -26 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\drawable\launch_background.xml            | XML              |        -34 |          0 |         -1 |        -35 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values-night-v31\styles.xml               | XML              |        -15 |         -7 |         -1 |        -23 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values-night\styles.xml                   | XML              |        -13 |         -9 |         -1 |        -23 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values-v31\styles.xml                     | XML              |        -15 |         -7 |         -1 |        -23 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\values\styles.xml                         | XML              |        -13 |         -9 |         -1 |        -23 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\main\res\xml\network_security_config.xml           | XML              |         -9 |          0 |         -1 |        -10 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\app\src\profile\AndroidManifest.xml                        | XML              |         -3 |         -4 |         -1 |         -8 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\gradle.properties                                          | Properties       |         -3 |          0 |         -1 |         -4 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\android\gradle\wrapper\gradle-wrapper.properties                   | Properties       |         -5 |          0 |         -1 |         -6 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\__init__.py                                            | Python           |          0 |          0 |         -1 |         -1 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\db\database.py                                         | Python           |        -13 |          0 |         -2 |        -15 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\main.py                                                | Python           |        -30 |         -1 |        -11 |        -42 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\requirements.txt                                       | pip requirements |         -8 |          0 |         -1 |         -9 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\authentication.py                               | Python           |       -314 |        -31 |        -77 |       -422 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\bookmark.py                                     | Python           |        -31 |          0 |         -8 |        -39 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\db_routes.py                                    | Python           |        -15 |          0 |         -3 |        -18 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\email.py                                        | Python           |        -35 |        -26 |         -9 |        -70 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\postadd.py                                      | Python           |        -96 |         -8 |        -36 |       -140 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\posts.py                                        | Python           |       -125 |        -36 |        -10 |       -171 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\purches.py                                      | Python           |        -39 |          0 |         -6 |        -45 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\search.py                                       | Python           |        -38 |       -105 |         -4 |       -147 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\routes\users.py                                        | Python           |        -28 |          0 |         -8 |        -36 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\app\utils\bunny_upload.py                                  | Python           |        -32 |         -4 |        -14 |        -50 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\backend\requirements.txt                                           | pip requirements |       -397 |          0 |          0 |       -397 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\images\Bod-logo(512x512)-White.svg                                 | XML              |         -1 |          0 |          0 |         -1 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\RunnerTests\RunnerTests.swift                                  | Swift            |         -7 |         -2 |         -4 |        -13 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\AppDelegate.swift                                       | Swift            |        -12 |          0 |         -2 |        -14 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json        | JSON             |       -122 |          0 |         -1 |       -123 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json | JSON             |        -21 |          0 |         -1 |        -22 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json      | JSON             |        -23 |          0 |         -1 |        -24 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md          | Markdown         |         -3 |          0 |         -2 |         -5 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Base.lproj\LaunchScreen.storyboard                      | XML              |        -43 |         -1 |         -1 |        -45 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Base.lproj\Main.storyboard                              | XML              |        -25 |         -1 |         -1 |        -27 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\ios\Runner\Runner-Bridging-Header.h                                | C++              |         -1 |          0 |         -1 |         -2 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\AboutUs.dart                                                   | Dart             |       -299 |         -4 |        -11 |       -314 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\ContactUs.dart                                                 | Dart             |       -212 |          0 |         -7 |       -219 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\EditProfile.dart                                               | Dart             |       -400 |        -77 |        -32 |       -509 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\EditProfileInfoForOffice.dart                                  | Dart             |       -357 |         -6 |        -16 |       -379 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\HomePage.dart                                                  | Dart             |     -1,591 |        -43 |        -52 |     -1,686 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\OfficePostShow.dart                                            | Dart             |       -638 |        -29 |        -10 |       -677 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\Office_Profile.dart                                            | Dart             |       -518 |        -26 |        -21 |       -565 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\OfficialProfileSetting.dart                                    | Dart             |       -639 |        -29 |        -26 |       -694 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\Plans.dart                                                     | Dart             |       -192 |         -8 |        -18 |       -218 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\PrivacyPolicy.dart                                             | Dart             |       -135 |         -3 |         -9 |       -147 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\SignUpUser.dart                                                | Dart             |       -406 |          0 |        -13 |       -419 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\UserHomePage.dart                                              | Dart             |     -2,290 |       -348 |        -66 |     -2,704 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\askForLogin.dart                                               | Dart             |       -225 |         -3 |         -7 |       -235 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\bookmark.dart                                          | Dart             |        -31 |          0 |         -7 |        -38 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\email.dart                                             | Dart             |        -27 |          0 |         -5 |        -32 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\get_post.dart                                          | Dart             |       -192 |         -3 |        -15 |       -210 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\get_user.dart                                          | Dart             |        -56 |         -1 |         -9 |        -66 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\login.dart                                             | Dart             |        -49 |         -1 |         -8 |        -58 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\picRequest.dart                                        | Dart             |        -15 |         -1 |         -4 |        -20 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\postadd.dart                                           | Dart             |        -51 |         -8 |         -8 |        -67 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\purches.dart                                           | Dart             |        -75 |          0 |         -8 |        -83 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\register.dart                                          | Dart             |        -50 |          0 |         -7 |        -57 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\search.dart                                            | Dart             |       -149 |         -6 |        -33 |       -188 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\backend\userinfo.dart                                          | Dart             |        -41 |         -4 |         -9 |        -54 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_all.dart                               | Dart             |        -61 |        -10 |        -10 |        -81 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_ar.dart                                | Dart             |       -364 |        -10 |         -7 |       -381 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_en.dart                                | Dart             |       -391 |        -10 |         -7 |       -408 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_ps.dart                                | Dart             |       -404 |        -10 |         -7 |       -421 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\intl\messages_ur.dart                                | Dart             |        -86 |        -10 |         -7 |       -103 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\generated\l10n.dart                                            | Dart             |     -1,328 |       -218 |       -225 |     -1,771 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\global.dart                                                    | Dart             |        -41 |          0 |         -9 |        -50 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\ifAqarOffice.dart                                              | Dart             |       -184 |        -10 |         -6 |       -200 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_ar.arb                                               | JSON             |       -206 |          0 |        -27 |       -233 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_en.arb                                               | JSON             |       -212 |          0 |        -34 |       -246 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_ps.arb                                               | JSON             |       -214 |          0 |        -20 |       -234 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\l10n\intl_ur.arb                                               | JSON             |        -57 |          0 |        -13 |        -70 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\login.dart                                                     | Dart             |       -411 |         -3 |        -16 |       -430 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\main.dart                                                      | Dart             |       -140 |          0 |        -10 |       -150 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\map.dart                                                       | Dart             |       -126 |          0 |        -11 |       -137 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\officeAccountInfo.dart                                         | Dart             |       -312 |          0 |        -10 |       -322 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\officeHomePage.dart                                            | Dart             |     -3,153 |       -104 |        -96 |     -3,353 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\officeLogin.dart                                               | Dart             |       -299 |          0 |         -8 |       -307 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\postsDetail.dart                                               | Dart             |       -698 |          0 |        -14 |       -712 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\requestPicture.dart                                            | Dart             |       -364 |         -1 |        -19 |       -384 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\search_page.dart                                               | Dart             |       -953 |        -83 |        -65 |     -1,101 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\subscription_pageOne.dart                                      | Dart             |       -453 |         -2 |        -41 |       -496 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\lib\warningLogOutPage.dart                                         | Dart             |       -168 |          0 |         -3 |       -171 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\CMakeLists.txt                                               | CMake            |       -104 |          0 |        -25 |       -129 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\flutter\CMakeLists.txt                                       | CMake            |        -79 |          0 |        -10 |        -89 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\flutter\generated_plugin_registrant.cc                       | C++              |        -11 |         -4 |         -5 |        -20 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\flutter\generated_plugin_registrant.h                        | C++              |         -5 |         -5 |         -6 |        -16 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\flutter\generated_plugins.cmake                              | CMake            |        -20 |          0 |         -6 |        -26 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\runner\CMakeLists.txt                                        | CMake            |        -21 |          0 |         -6 |        -27 |
| c:\Users\ZETTA\Desktop\aqarat_flutter_project4\linux\runner\main.cc                                               | C++              |         -5 |          0 |         -2 |         -7 |
